Filename,Orig_UCIQE,Orig_UIQM,CLAHE_UCIQE,CLAHE_UIQM,UCM_UCIQE,UCM_UIQM
194_img_.png,62.68632224229894,14.81765909220964,72.57981302400135,20.58839769929247,74.976613214811,26.145667706502838
1957.png,70.53757257361497,13.558552445519528,71.35775466883916,18.157690182609613,74.44688633504835,24.22782181717045
195_img_.png,52.83243560903656,10.136054842433348,65.18636425745802,14.589970337828898,78.61710897658891,22.13910092335916
196_img_.png,65.73725344700931,14.982379253230215,70.95803692378301,21.36570383343314,74.87014237366226,26.124708525641775
197_img_.png,66.93312684216954,21.29929605894035,69.42839361138616,22.74680078800004,72.66892585033706,25.20395205906948
198_img_.png,59.76059458003401,13.591941273306858,70.18699474155845,18.934203826424874,77.24673575380605,23.656025653597723
199_img_.png,71.95360745010228,13.368719028073496,72.7634864172444,16.195207634892324,76.10122429258384,21.149144447693516
19_img_.png,75.59391344595105,17.957028168622628,75.39626392224177,20.971100015275855,77.73164115617287,22.237393327723016
20.png,76.86835417631367,15.503307357860303,77.48098389949337,21.128902663907247,79.49848391688073,21.81159878506955
200_img_.png,70.35273179060016,17.880071519648936,72.73246041245903,21.118648055482208,75.51950795636401,25.854881117899403
201_img_.png,76.54427010480107,15.35798622270864,76.5118601755117,19.30910794846139,77.5004205671232,24.133002726201976
202_img_.png,61.99831345922283,12.249204668876235,70.21312810526621,16.605701725852605,73.5792702195281,25.700693370203233
203_img_.png,70.8074318237833,13.146522498210478,72.51434180686938,15.5054285799814,75.96606489935719,19.25804450047898
204_img_.png,49.78182659416933,9.983744470121133,58.38484132139338,12.782584962035182,72.50320773740582,24.957361070726826
205_img_.png,40.4648135761766,6.045223687743697,58.0345178410796,10.627978765619691,78.44896669508448,20.504667493329844
206_img_.png,70.93136132702854,17.373925909571014,72.03722731189659,21.565307965276862,73.96505814068361,25.573540025369827
207_img_.png,68.52871204772165,14.475070310274793,71.83131048466791,21.464362704947785,74.66828769070163,26.214552004839824
208_img_.png,45.51797154243967,11.331326187218636,62.114840396137595,19.013939738700955,73.04963633206697,25.400713389499735
209_img_.png,55.836834250709295,12.517672635512113,69.28874284159988,19.50704077449025,76.20762573360396,26.02628212575958
210_img_.png,60.024214808641744,12.54059048142617,69.637383196347,17.12338712517825,77.2962974931036,25.288337326788245
211_img_.png,64.49339323411235,17.554046114232833,70.54248558940893,22.88377050847889,74.31010460836872,25.760752392980333
212_img_.png,68.22826426946907,17.317901949193093,72.90594092907692,22.860210526453404,75.4314149414824,26.210015224393434
213_img_.png,51.65905979282004,7.427426345973987,65.6502803309882,12.840849500072514,77.5108240062796,18.496219519737146
214_img_.png,49.888577696841175,7.24272158924007,66.6318228285414,12.898905706696624,78.63490432542868,21.17703875049661
215_img_.png,54.48134992276662,12.166831110677286,66.01638845538474,19.774377334351854,76.0473392797988,26.481749725174787
216_img_.png,58.11256840259936,13.396688579352091,67.72672270198869,20.948829698622404,74.05311588508313,26.45847397996263
217_img_.png,49.65519679784608,10.561570182354982,65.58550367468955,18.757563250644036,75.30400452559631,26.819960949890387
219_img_.png,71.16479226103345,17.914682931674207,74.442564185165,25.32314865026032,77.46192848368894,26.85467500145302
220_img_.png,59.798359644460966,14.049678968175645,71.04761118694822,21.16862975426151,76.92331291662059,26.38457257582914
221_img_.png,68.58494710665744,17.621771795590526,71.21321276661226,21.50074637848937,75.306836842749,23.71307661706882
222_img_.png,72.62934803279559,12.788255161338437,72.56731859754242,13.00499412649511,75.23455706112918,20.76840324770994
223_img_.png,57.260291862881814,9.94010821596919,70.97099533593894,16.535360368869668,77.63346923642698,19.84885262936306
224_img_.png,54.806207710466495,9.35793402078298,70.16066240954774,16.101891370697608,78.15486907283481,20.020392128169092
225_img_.png,75.8533895414894,20.514233145128262,75.69222370940096,23.321316668198243,76.55398774827474,22.046377319390746
226_img_.png,44.10373293773956,7.002506701351828,60.02277042056478,11.872254931574929,77.84509997240804,19.42065981617872
227_img_.png,72.00594812019376,17.568224705798187,72.27491333340548,18.578539216676827,73.38304413078056,24.37660093778327
228_img_.png,74.21718425664015,18.27650100928741,74.53516926910591,20.359502925749258,79.14933122900688,18.755284400891846
229_img_.png,71.01417609994074,12.081234794173907,72.0819296047526,16.006148422661006,76.79537296051089,20.868863563496678
22_img_.png,52.529432401609895,8.350340455136621,61.86275776817484,11.709036150043746,77.12283742070149,23.147385257823682
230_img_.png,64.31453679954512,15.199559171044356,70.08244050621249,22.814918883400384,75.13146375003235,26.867521764315676
231_img_.png,42.80358458194137,6.071558611539022,58.451429513628916,10.390769330629649,78.65676714531888,19.947486895998917
232_img_.png,48.89426967729864,8.00826107116433,62.89725097015748,13.016475966253275,77.79850790476162,23.6051925321197
233_img_.png,51.351353800965036,9.746933912822035,65.90177101936494,15.344692960387942,77.6431356201032,25.63389220853894
234_img_.png,55.391481587588565,13.066936575341746,68.5724298616902,21.45927498599109,75.85131804354795,27.021983499396793
236_img_.png,51.14533008984537,10.154502202417822,64.87350010813147,15.656802133071979,76.78277915169359,26.110179531056897
238_img_.png,36.37054178926474,5.228301480842681,55.31381241933265,9.70957150620901,80.55607955099515,19.17917413220051
23_img_.png,73.97794982826822,11.630481604337291,74.51680919779248,15.564811322515283,75.64089259643659,23.44730815270047
240_img_.png,78.05329848061076,16.869086126994276,78.45021977555784,18.34679951434215,78.8676235168214,21.382059099559378
241_img_.png,41.504134062920606,6.1680636281819385,55.23029733812871,10.240500731555443,79.42207531375023,22.469849015606417
242_img_.png,52.26726612321251,9.911837079123785,62.42925512702709,18.73435667307166,76.3712420747119,27.570055485516768
243_img_.png,49.23439499812295,7.609204396745545,63.23553425353711,13.965738825187259,77.87365646139942,21.748312996559278
244_img_.png,76.362713312377,14.475621245467135,77.40502232087361,17.766486978841836,78.84200746915634,20.567341807430196
245_img_.png,46.372922182366565,7.722235999282739,59.27720027433351,13.469346979354496,77.36810343155936,24.471178924932342
246_img_.png,73.61126605951003,13.272773958422455,74.11288607594574,19.13754727159556,75.37179201142793,21.11158100650863
247_img_.png,57.696753408769084,11.783003494467497,67.84310671815936,18.31528761739845,75.16766236925312,25.623168919729476
248_img_.png,39.10785432607807,7.297691917254536,50.63765934048211,9.526864564918256,77.07936157599053,23.160302523119423
24_img_.png,51.5423285930322,8.56155981250536,64.44526101795998,12.73059038103046,76.54531716925983,22.50136339049854
251_img_.png,62.39693476292715,14.954553252465487,70.6239654431783,21.845844180133778,74.34396976900324,26.03699044720234
252_img_.png,54.26279760450246,9.675393593251682,61.399804571592384,14.367503372488395,75.80848616393999,22.23274773011036
253_img_.png,59.424043608389866,14.967422372780247,70.39706694259642,23.00759874949828,75.350860068779,26.261085568503262
2546.png,76.1259300579716,13.417008374286198,77.10606568253404,19.406135406368104,77.67040378565844,22.07334413711691
254_img_.png,37.550403611488214,7.914166597779395,51.00122660689632,9.589296482530669,75.9884655496902,23.70408305136531
255_img_.png,51.78499649279787,11.666101818461547,57.72410077913202,11.67937654402262,74.99851094581295,22.28852078916951
257_img_.png,63.68163566357135,9.393205237099345,72.41345604285256,15.009307691544201,77.0606376032497,22.225668399411532
258_img_.png,70.57881507887316,13.282774696332215,71.07966088784151,16.474929942641566,77.5487315948971,21.421664346189612
259_img_.png,76.41817184827036,19.32490697529029,76.40855825506908,22.613805076111646,76.49840052654069,21.615674275151648
25_img_.png,58.24221024266932,9.276919040112793,68.1260258763176,14.607535087478006,75.43675056294887,22.82211597399357
