Filename,Orig_UCIQE,Orig_UIQM,MSF_UCIQE,MSF_UIQM,LAF_UCIQE,LAF_UIQM
472_img_.png,51.650100129965026,8.610689370937653,66.0752187269603,14.483567278747335,62.61785200720198,9.82513044950896
473_img_.png,73.24564002484641,14.910031080419532,73.35658065530413,17.737655115353935,72.14593902947348,15.458055002911806
476_img_.png,61.17298930446079,10.650682445223664,60.80381035084566,16.370203401499538,62.35518892040429,12.094987922637973
477_img_.png,42.14899254811617,9.094931128173625,54.5593604630471,17.124801185826392,53.36364453507209,11.26483095315562
478_img_.png,72.73779884367629,16.205079118219842,74.11949500114905,21.490468485317354,71.05992271632863,18.67227666038091
479_img_.png,46.2854972333756,7.388660219860556,52.199688702669334,11.979429163963871,62.62689624316197,9.184837122794306
480_img_.png,68.83163053752354,9.50282794900297,71.61341824419007,12.057347790811436,67.68185454376506,10.740491111552604
481_img_.png,54.30216880245214,8.464728301591979,58.372080254692676,12.990783150970532,56.17606994996249,10.748231840252718
482_img_.png,72.81662692513018,18.54715689950795,74.55000569536848,25.44343274890833,72.6452181688682,20.442859273358575
483_img_.png,76.77168839185774,17.67817640085694,78.26668187290319,24.91616128629992,76.26660378939067,19.17619218360414
484_img_.png,56.811658757646065,14.452131954141755,60.395188229695805,22.60470795991731,63.65214772458036,17.440840772236136
485_img_.png,60.68798692012067,9.790190672640788,65.72738933859608,12.435973528585736,65.08061297038044,10.324444987870425
486_img_.png,40.24469699367613,11.04977651223444,54.55216731471667,13.154799676950004,44.44213812508509,13.035437080008446
487_img_.png,61.10079988998156,12.792799742962664,69.8783961381689,19.764090737328306,66.58888001200171,15.403770775215387
488_img_.png,73.53900106490745,11.289969999628404,74.97204095794983,18.58151515969964,72.2408393996467,13.8537433985227
489_img_.png,70.1964687717374,11.404956980196477,72.66574309379997,19.139501909211134,68.92035592176018,13.826027760305347
48_img_.png,72.75694951307068,17.11049332570421,73.83295806200144,17.996428633001724,73.4630972989366,16.95800155615321
490_img_.png,69.51727813813753,9.978162673914351,71.32273005363483,14.149368023841946,68.2027954738209,11.746355855744579
491_img_.png,68.04917023070881,15.659824720899572,69.52124522969439,22.74065258087081,70.82238847943489,16.986448962844833
492_img_.png,55.79185505246381,9.069781267907237,64.78389216831398,18.018269137919475,64.49463656831476,12.488091401859174
493_img_.png,59.233206201532994,8.33944441833805,62.47930314264285,18.529704659146223,65.23517003994614,10.617593430970388
494_img_.png,65.70840264596019,15.04609895287259,71.06660010939096,18.908429220655165,68.07432065914246,15.612167959130073
495_img_.png,47.858429972037605,10.115452081141541,59.0769280002269,16.444601734749327,55.421501568393765,12.347514039213529
496_img_.png,61.22059730273735,14.713362772998526,63.814702910777335,20.093802704216838,63.08190838832517,17.204537611995217
497_img_.png,66.7568934856017,17.89477692931672,69.24169686357523,27.28692207791645,68.69595739364951,21.24527073640411
498_img_.png,66.18645274602615,10.88779947413108,70.1275981272333,15.710886596203416,65.37846455077413,13.389246076108263
499_img_.png,75.52594520645373,14.027052865511578,75.8543636588557,18.790085295472373,73.18653275247243,16.516866015611527
49_img_.png,74.29795177193279,12.656926324516226,74.48427076982648,21.755620642217842,73.38958438984676,16.086444124299074
4_img_.png,67.51180935760611,17.178776493371956,71.5361931850078,26.085121290251585,70.25148998301408,19.36669951340463
501_img_.png,48.45284792072221,10.887962877327224,57.58141554907456,15.63501027890463,53.90673651161119,12.284367161426081
502_img_.png,70.6072929590436,17.627783486557036,71.46330841884797,19.95860990561459,71.68367511714902,17.742233508679234
503_img_.png,64.8927421376773,13.131079058550126,68.00619864117213,17.677866990815943,69.15255693842761,13.628710323663526
504_img_.png,59.441857813089236,6.720725755545178,65.53122104051367,12.321732642534192,65.24690698538953,8.029795128720629
505_img_.png,51.11548458859469,8.493284114179662,62.43162941530727,14.806620510649061,58.06591894577783,9.531619568490125
506_img_.png,75.62058599710747,18.374926309975283,76.22577918177498,23.690800145230153,74.83685269784537,19.004271266353204
507_img_.png,70.1717750371666,16.79974564043475,72.91919949811903,20.444396251028323,70.3904627172459,17.117606048789085
508_img_.png,67.40807157988527,11.135817904992019,73.98335730982346,20.980188725676204,74.91019542031079,13.9235369264736
509_img_.png,70.94673234624784,11.641258583344104,71.9164958970498,21.618828533373208,73.47626961758222,13.732011372696139
50_img_.png,69.51104948436212,13.61647145247059,70.16367726586624,19.751981603348,68.87866771025163,15.301983967157144
510_img_.png,59.113724163589595,12.335396540822671,67.57442324280339,18.640154503043362,59.114876763273735,15.16919325368266
511_img_.png,70.09480775249855,17.205356199652055,71.6305531409599,22.790854265567397,73.12921240436928,16.366128567990565
512_img_.png,73.62777680922567,17.631134891164397,74.52037081308525,23.719743816158182,73.60430583718319,18.57344994048929
513_img_.png,75.70993143934685,22.105181752833815,76.28471731933215,27.014495819985076,76.10363003814933,22.862774696316468
515_img_.png,48.66270590475968,10.800166932989914,61.01517184431737,15.375814819157679,52.87244400758931,11.916714800570436
516_img_.png,66.1267035214652,11.993879240547482,69.64267676872639,20.096098975447745,69.5898618314385,15.174914363065216
517_img_.png,77.3893633167005,20.806483988516497,78.45921986025867,27.221544917605684,76.647213039528,21.486803139926085
518_img_.png,54.6866373743072,8.934325544768337,63.11746736651971,13.216487852103175,57.177764008176126,11.306477544106162
519_img_.png,62.98765772245076,13.361672030340193,64.91035814629566,16.72695614545303,61.43804070146672,14.929368559002818
51_img_.png,65.86388625580022,12.14371481508432,69.11669316895309,20.778965591904345,69.62456883876229,14.342890821512343
524_img_.png,75.13645404183325,17.203652976890858,75.53129424127431,19.79047279725553,73.5974728496094,18.11721085741656
526_img_.png,65.67532505361409,12.67954902155081,70.22123031881175,15.378563600267649,63.70534423957676,16.89282104396024
527_img_.png,60.300654110392784,11.731254745851988,64.41559708418336,18.789627072512683,64.47102229285372,15.192506805475608
528_img_.png,61.59163791388165,12.05598220038744,68.07043380400597,17.763955216093496,63.591524033634315,15.979537651395555
52_img_.png,66.1093877060108,13.692074241387216,69.88189411688988,23.169266256658034,69.64316086354324,16.667830018587004
